Ramo,origin,development,Pagados,Pendientes,Incurridos,Cantidad
Daño parcial,1998-01-01,1.0,1629552427.3928342,771142960.3257629,2400695387.718596,3165684.020092586
Daño parcial,1998-01-01,2.0,764536846.6461893,-660261879.7024959,104274966.94369413,797365.4031546687
Daño parcial,1998-01-01,3.0,13579722.042628877,-23767720.267818745,-10187998.225189691,9245.030177316326
Daño parcial,1998-01-01,4.0,5611167.568055951,-12334935.862762548,-6723768.294706661,2726.449587132594
Daño parcial,1998-01-01,5.0,914276.8151310447,-668416.0805087421,245860.73462222551,77.93783144236025
Daño parcial,1998-01-01,6.0,576810.4534744975,519344.3075465169,1096154.7610210413,77.02488153359229
Daño parcial,1998-01-01,7.0,59890.36283931306,-1462998.2826663156,-1403107.9198270275,71.85492668094038
Daño parcial,1998-01-01,8.0,3110798.177532542,-780387.2444736924,2330410.9330588426,111.05707028245456
Daño parcial,1998-01-01,9.0,253240.12305285886,-92382.39402238933,160857.72903051827,
Daño parcial,1998-01-01,10.0,11981.544674818218,1182770.2680806932,1194751.812755469,103.96134208085222
Daño parcial,1998-01-01,11.0,124663.54901432566,-7849173.0302978,-7724509.481283444,60.23097821790587
Daño parcial,1998-01-01,12.0,37439.39579530926,2300538.6713708243,2337978.067166134,10.770362554931552
Daño parcial,1998-01-01,13.0,48839.82951879293,126532.73364345718,175372.5631622611,9.425136006657484
Daño parcial,1998-01-01,14.0,499182.38709875353,-1374786.135353457,-875603.7482546887,25.12901663641498
Daño parcial,1998-01-01,15.0,14208.062084030176,-13590.529385638689,617.5326983587516,7.400032335432384
Daño parcial,1998-01-01,16.0,,26150.541707793862,26150.541707801087,
Daño parcial,1998-01-01,17.0,5980.258016283706,-160286.11888220743,-154305.86086592372,20.272061072148155
Daño parcial,1998-01-01,18.0,8110.145886711574,114574.3367673654,122684.4826540927,7.951123418344681
Daño parcial,1998-01-01,19.0,2368.230466639165,,2368.230466639165,
Daño parcial,1998-01-01,20.0,1021.7873039097179,,1021.7873039097179,2.5354523670216325
Daño parcial,1998-01-01,22.0,7887.4332151375675,50453.188557322756,58340.62177246033,3.332718259917282
Daño parcial,1999-01-01,1.0,1906106096.2653694,332384100.90123177,2238490197.1666017,3484468.8310162537
Daño parcial,1999-01-01,2.0,308442538.8974915,-275293358.85571766,33149180.041773126,119579.8226428426
Daño parcial,1999-01-01,3.0,16142880.594344603,-35106782.090184346,-18963901.49583965,3367.9671370461456
Daño parcial,1999-01-01,4.0,848362.6477898005,349928.00343401,1198290.6512238798,331.23578363003105
Daño parcial,1999-01-01,5.0,912562.6823282245,-428533.7052782555,484028.9770498827,327.3557465177672
Daño parcial,1999-01-01,6.0,3380386.283734141,-691191.4016622201,2689194.882071975,17.963731670235095
Daño parcial,1999-01-01,7.0,7346616.2173452405,4674297.2137199,12020913.431065073,79.32647877318183
